data,chat
09:00 AM,"You're an idiot!!! How did you even manage that?"
09:05 AM,"This app sucks, you're so stupid and lazy!!!"
09:10 AM,"I hate you, you noob, just uninstall the game now!!!"
09:15 AM,"What a dumb, stupid move — total idiot behavior!!!"
09:20 AM,"You are trash, absolute noob, go cry!!!"
09:25 AM,"Stop being such an idiot and a noob!!!"
09:30 AM,"I hate this, this team is so stupid and lazy, worst ever!!!"
09:35 AM,"You keep failing, pathetic noob, you're useless!!!"
09:40 AM,"This lag is stupid, and you're an idiot for blaming the team!!!"
09:45 AM,"Uninstall, you noob, you suck at this!!!"
09:50 AM,"Absolutely the dumbest play, you idiot!!!"
09:55 AM,"You lazy fool, can't you do anything right?!!!"
10:00 AM,"I hate everyone who defends that idiot, ridiculous!!!"
10:05 AM,"Screw this, you stupid noob, I'm done!!!"
10:10 AM,"You're an idiot, noob, lazy, and completely hopeless!!!"
10:15 AM,"This team is trash, full of idiots and noobs!!!"
10:20 AM,"You suck! I hate this player!!!"
10:25 AM,"What a stupid, pathetic performance — absolute noob!!!"
10:30 AM,"I hate your gameplay, uninstall you idiot!!!"
10:35 AM,"Stop being lazy and stupid, learn to play, noob!!!"
10:40 AM,"Yo team, ready for another round of chaos?"
10:45 AM,"Absolutely, my coffee hasn’t kicked in yet though."
10:50 AM,"Bruh, my cat just walked on my keyboard and sent 47 emojis."
10:55 AM,"Lol classic! Maybe your cat is better at typing than you."
11:00 AM,"You’re such a noob, lost the game in 2 minutes again 😂"
11:05 AM,"I swear this lag is stupid, my ping’s at 900."
09:22 AM,"Bro, you ordered from that lazy driver again didn’t you?"
09:25 AM,Yep. He waved at me from the car and left the pizza on the gate.
09:28 AM,"LOL what a legend. 2/10 delivery, 10/10 confidence."
09:31 AM,Stop roasting the poor dude. Focus on the mission!
09:34 AM,Mission failed successfully. Again.
09:38 AM,"You’re all idiots, but I love this chaos."
09:41 AM,"Alright everyone, group selfie before we lose again!"
09:45 AM,"Say cheese! Or say lag, that’s our true leader."
09:50 AM,"This app sucks, it just froze on my victory dance."
09:55 AM,Plot twist: there was no victory.
10:00 AM,"GG everyone, see you in the next disaster."
